description,category
homelet rent guarantee ref50603,Rent/Mortgage
TRAINLINE.COM TICKET REF73812,Transport
ARGOS LTD BIRMINGHAM REF13437,Shopping
IKEA LTD MANCHESTER REF91486,Shopping
TICKETMASTER UK,Entertainment
PRIMARK EDINBURGH REF7168,Shopping
FP  TO  C  TAYLOR  REF  9750,Transfers
FP TO C TAYLOR REF 4,Transfers
CURRYS PC WORLD,Shopping
standing order to j smith,Transfers
PENSION PAYMENT PIVOT IO REF44886,Salary/Income
ASDA SUPERSTORE 5523,Groceries
Just Eat L,Dining
Ee Limited Mobile,Utilities
national express bristol,Transport
THAMES WATER 4070,Utilities
LIDL GB GLASGOW,Groceries
ASDA SUPERSTORE 2450 REF53128,Groceries
Dvla Tax 4319,Transport
LANDLORD RENT LEEDS,Rent/Mortgage
PAYROLL BLUEWAVE LTD REF11531,Salary/Income
lidl gb edin ref58069,Groceries
NEXT RETAIL LTD,Shopping
Ticketmaster Uk,Entertainment
BANK TRANSFER L JONES,Transfers
VODAFONE LTD,Utilities
#REGGS PLC 3937 REF28812,Dining
TFL TRAVEL CHARGE 1,Transport
ALDI STORES 3997,Groceries
Odeon Cinemas 257,Entertainment
LANDLXRD RENT BIRMINGHAM,Rent/Mortgage
DISNEY PLUS,Subscriptions
BP MANCHESTER F,Transport
ZARA.COM UK,Shopping
THAMES WATER 2245,Utilities
Netflix.Com,Subscriptions
TESCO STORES 3718 GLASG,Groceries
TESCO STORES 9475 GLASGOW,Groceries
NATIONAL EXPRESS LIVERPOOL,Transport
UBER *EATS HEL,Dining
SCOTTISH POWER,Utilities
Sainsburys S/Mkts L#verpool Ref93969,Groceries
EDF ENERGY,Utilities
UBER *TRIP HELP.UBER.COM REF67337,Transport
PRIMARK BRISTOL REF35702,Shopping
ASDA SUPERSTORE 5552,Groceries
GREGGS PLC 463,Dining
JOHN LEWIS BIRMINGHAM REF20577,Shopping
PRIMARK LIVERPOOL,Shopping
Primark Liverpool,Shopping
Asda Superstore,Groceries
trainline.Xom ref74923,Transport
DISNEY PLUS,Subscriptions
AMAZON PRIME 8046 REF80786,Subscriptions
Amazon Prime 6783,Subscriptions
APPLE.COM/BILL ICLOUD REF7929,Subscriptions
waitrose london,Groceries
NEXT  RETAIL  LTD,Shopping
THE GUARDIAN DIGITAL REF51710,Subscriptions
Edf Energy,Utilities
NATIONAL EXPRESS BIRMINGHAM,Transport
Thames Water 11,Utilities
ZARA.COM UK REF52172,Shopping
GREGGS PLC 6503,Dining
WAGAMAMA BIRMINGHAM REF46863,Dining
DWP UNIVERSAL CREDIT,Salary/Income
REVOLUT TRANSFER 7191,Transfers
Ikea Ltd Lee,Shopping
NEXT RETAIL LTD,Shopping
ADOBE SYSTEMS REF76723,Subscriptions
DROPBOX*IB,Subscriptions
TRAINLINE.COM TICKET,Transport
Asda Superstore 2744,Groceries
IKEA  LTD  LIVERPOOL,Shopping
HMRC TAX CREDIT,Salary/Income
Playstation Netwo,Entertainment
WAITROSE EDINBU,Groceries
ARGOS LTD BIRMINGHAM,Shopping
Microsoft*Xbox  Ref9144,Subscriptions
P2P PAYMENT C TAYLOR,Transfers
PARKINGEYE LTD MANCHESTER,Transport
DROPBOX*IB,Subscriptions
STANDING ORDER TO S BROWN REF67018,Transfers
WAITROSE LEEDS,Groceries
CINEWORLD LEEDS REF37407,Entertainment
IKEA LTD EDINBURGH,Shopping
OCTOPUS ENERGY LTD,Utilities
NATNORTH MORT,Rent/Mortgage
co-op food edinburgh,Groceries
TRAINLINE.COM TICKET REF26004,Transport
BANK TRANSF,Transfers
Costa Coffee,Dining
Aldi Stores 8804,Groceries
CURRYS PC WORLD,Shopping
Ebay O *9088,Shopping
Natnorth Mortgage 4325 Ref14861,Rent/Mortgage
GITHUB INC REF69726,Subscriptions
TFL TRAVEL CHARGE 4809 REF63051,Transport
Pension Payment Northstar Plc,Salary/Income
netflix.com,Subscriptions
Tesco Stores 3088 Birmingham,Groceries
Ocado Ltd Ref 9,Groceries
LANDLORD  RENT  BRISTOL,Rent/Mortgage
EBAY O *3414 REF54170,Shopping
Netflix.Com,Subscriptions
SCOTTISH  PO*ER  REF45318,Utilities
FASTER PAYMENTS OU,Transfers
Shell Petrol Leeds Ref2478,Transport
OCADO LTD REF 671,Groceries
BT GROUP PLC,Utilities
Disney Plus,Subscriptions
SPOTIFY P8372 REF10183,Subscriptions
OCADO LTD REF 7817,Groceries
IKEA LTD BIRMINGHAM,Shopping
LIDL  GB  EDINBURGH,Groceries
FP TO M KHAN REF 6442,Transfers
NEXT#RETAIL LTD REF34956,Shopping
Landlord Rent Liverpool,Rent/Mortgage
Just  Eat  London  Ref5607,Dining
TRANSFER TO J SMITH REF38117,Transfers
Cineworld Glasgow,Entertainment
Dvla Tax 1,Transport
Fp To M Khan Ref 1834,Transfers
PURE GYM BRISTOL,Entertainment
Landlord Rent Liverpool,Rent/Mortgage
TRANSFER TO M KHAN,Transfers
HALIFAX MORTGAGE PYMT,Rent/Mortgage
Amazon.Co.Uk *1115,Shopping
STANDING ORDER TO J SMITH,Transfers
CURRYS PC WORL,Shopping
CO-OP FOOD LIVERPOOL,Groceries
JOHN LEWIS,Shopping
Costa Coffee 22*5,Dining
faster payme ref75225,Transfers
EDF ENERGY,Utilities
LID* GB GLASGOW REF4787,Groceries
Dvla Tax 8297,Transport
Salary Acme Ltd Bacs,Salary/Income
JOHN LEWIS LIVERPOOL REF12957,Shopping
CO-OP FOOD EDINB,Groceries
NATIONAL EXPRESS EDINBURGH,Transport
RIGHTMOVE RENT REF 2185,Rent/Mortgage
RENT PAYMENT R SINGH REF64559,Rent/Mortgage
LIDL GB BRIS,Groceries
RENT PAYMENT J SMITH,Rent/Mortgage
Odeon Cinemas 1978 Ref7583,Entertainment
A*di Store Ref45210,Groceries
PAYROLL NORTHSTAR PLC,Salary/Income
Just Eat Edinburgh,Dining
Starbucks Liverpool Ref81197,Dining
MARKS&SPENCER FOOD LONDON,Groceries
Homelet Rent Gu,Rent/Mortgage
sainsburys s/mkt,Groceries
PURE GXM BRISTOL,Entertainment
HMRC TAX CREDIT,Salary/Income
MICROSOFT*XBOX,Subscriptions
Trainline.Com Ticket,Transport
EVENTBRITE  REF97666,Entertainment
waitrose g,Groceries
DVLA  TAX  8052,Transport
BP EDINBURG,Transport
Trainline.Com Ticket,Transport
SAINSBURYS S/MKTS BIRMINGHAM,Groceries
UBER *EATS HELP.UBER.C,Dining
Santander Mortgage,Rent/Mortgage
CO-OP FOOD EDINBURGH,Groceries
ZARA.COM UK,Shopping
BT GROUP PLC,Utilities
DISNEY PLUS REF38081,Subscriptions
FP TO C TAYLOR REF 4112 REF69828,Transfers
DWP UNIVERS*L CREDIT REF11850,Salary/Income
P2P PAYMENT C TA,Transfers
Primark Liverpool,Shopping
john lewis london,Shopping
Wagamama Glasgow Ref57338,Dining
EDF ENERGY REF18832,Utilities
THE GYM GROUP 51 REF76401,Entertainment
HALIFAX  MORTGA,Rent/Mortgage
NATIONAL EXPRESS LONDON,Transport
Amzn Mktp Uk,Shopping
MORRISONS,Groceries
amazon.co.uk *6506,Shopping
Bp Liverpool Fuel Ref20526,Transport
PAXROLL  PIVOT  IO,Salary/Income
ARGOS LTD BIRMINGHAM,Shopping
UBER *EATS HELP.UBER.COM,Dining
Uber  *Trip  Help.Uber.Com,Transport
DROPBOX*IB,Subscriptions
STEAMGAMES.COM 7006,Entertainment
nandos manchester,Dining
Parkingeye Ltd Manchester,Transport
nandos manchester,Dining
LIDL GB EDINBURGH,Groceries
ODEON CINEMAS 5741,Entertainment
IKEA LTD GLASGOW,Shopping
DWP  UNIVERSAL  CREDIT  REF99401,Salary/Income
STANDING ORDER TO S BROWN,Transfers
Currys Pc World Ref70353,Shopping
first bus glasgow ref54X82,Transport
JOHN LEWIS LEEDS,Shopping
PRIMARK LIVERPOOL,Shopping
Currys Pc World,Shopping
Vodafone Ltd,Utilities
AMAZON PRIME 26,Subscriptions
Microsoft*Xbo,Subscriptions
bank transfe,Transfers
AMZN  MKTP  UK,Shopping
Greggs Plc 9916,Dining
EE LIMITED MOBILE,Utilities
WAGAMAMA LEEDS,Dining
Virgin Media O2,Utilities
Next Retail Ltd Ref95375,Shopping
MORRISONS  LEEDS  9685,Groceries
P2P PAYMENT C TAYLOR,Transfers
TRAINLINE.COM TICKET,Transport
MORRISONS LEEDS 2508,Groceries
LANDLORD RENT BIRMINGHAM,Rent/Mortgage
LIDL GB LEEDS,Groceries
SANTAXDER MORTGAGE REF17349,Rent/Mortgage
HMRC TAX CREDIT,Salary/Income
Pension Payment Pivot Io Ref63130,Salary/Income
BP EDINBURGH FUEL REF20179,Transport
#OLT.EU/TRIP 5528,Transport
EBAY  O  *95,Shopping
P2P PAYMEN XEF91596,Transfers
XPOTIFY P5278,Subscriptions
Uber *Eats Help.Uber.C,Dining
Pl*ystation Network Ref92604,Entertainment
JUST EAT MANCHESTER REF74146,Dining
DISNEY PLUS,Subscriptions
GREGGS PLC,Dining
faster payment from acme ltd salary,Salary/Income
CINEWORLD  REF97812,Entertainment
fp to l jones ref 9100 ref71278,Transfers
COUNCIL TAX GLA REF77089,Utilities
FP TO C TAYLOR REF 9653,Transfers
shell petrol liverpool,Transport
REVOLUT  TRANSFE  REF3290,Transfers
Transfer To,Transfers
CURRYS PC WORLD REF61679,Shopping
BRITISH GAS ENERGY,Utilities
ADOBE SYSTEXS,Subscriptions
Trainline.Com Ticket,Transport
REVOLUT TRANSFER 5130,Transfers
AMZN MKTP UK,Shopping
Pension  Payment  Bluewave  Ltd  Ref49619,Salary/Income
asda superstore 2495,Groceries
NATIONAL EXPRESS LEEDS,Transport
BRITISH GAS ENERGY REF58624,Utilities
Mcdonalds Birmingham,Dining
FP TO C TAYLOR REF 1898,Transfers
BOLT.EU/TRIP 1972,Transport
AMZN MKTP UK REF65691,Shopping
THE GUARDIAN DIGITAL,Subscriptions
Co-Op Food GlXs,Groceries
HMRC TAX CREDIT,Salary/Income
WAITROSE EDINBURGH REF94070,Groceries
Nytimes Digital,Subscriptions
COSTA COFFEE 6900,Dining
argos ltd  ref27205,Shopping
Ticketmaster Uk Ref86876,Entertainment
Property Mgmt Ltd Rent Ref42444,Rent/Mortgage
EMPLOYER BACS PIV REF92445,Salary/Income
P2P PAYMENT J SMITH,Transfers
SAINSBURYS S/MKTS LEEDS,Groceries
DISNEY PLUS,Subscriptions
Trainline.Com Ticket,Transport
FP TO J SMITH REF 2787,Transfers
IKEA LTD BRISTOL,Shopping
SAINSBURYS S/MKTS BRISTOL,Groceries
pure gym london ref72952,Entertainment
OCADO LTD REF 4411,Groceries
WAITROSE  MANCHESTER,Groceries
Amzn MkXp Uk,Shopping
Transfer To L Jones,Transfers
APPLE.COM/BILL ICLOUD,Subscriptions
SPOTIFY P2024 REF37656,Subscriptions
costa coffee 8780,Dining
ODEON  CINEMAS  4976,Entertainment
Bp Bristol,Transport
SANTANDER MORTGAGE,Rent/Mortgage
APPLE.COM/BILL ICLOUD,Subscriptions
RIGHTMOVE  REF20465,Rent/Mortgage
P2P Payment L Jones,Transfers
APPLE.COM/BILL,Shopping
MICROSOFT* REF26290,Subscriptions
REVOLUT TRANSFER 5507,Transfers
Adobe Systems Ref7664,Subscriptions
Primark Glasgow,Shopping
FASTER PAYMENTS OUT M KHAN,Transfers
STEAMGAMES.COM 6869 REF78667,Entertainment
BT GROUP PLC REF96493,Utilities
Faster Payment From Acm# Ltd Salary,Salary/Income
Dwp UnivXrsa,Salary/Income
EVENTBRITE *E,Entertainment
AMAZON.CO*UK *3673 REF40859,Shopping
REVOLUT TRANSFER 37,Transfers
Dominos  Pizza  Bristol  Ref56367,Dining
Ikea Ltd Leed Ref10051,Shopping
marks&spencer food leeds,Groceries
THE GUARDIAN DIGITAL REF23000,Subscriptions
MARKS&SPENCER FOOD MANCHEST,Groceries
OCADO LTD REF 7055,Groceries
MCDONALDS,Dining
LIDL GB EDINBURGH,Groceries
eventbrite *ev,Entertainment
STAGECOACH BUS 1,Transport
TFL TRAVEL CHARGE 3836 REF99814,Transport
Tfl Travel Charg Ref65335,Transport
SHELL PETROL #ONDON,Transport
ODEON CINEMAS 7029,Entertainment
GITHUB INC,Subscriptions
FP TO C TAYLOR REF 9291,Transfers
AMAZON.CO.UK *7918,Shopping
BANK  TRANSFER  J  SMITH,Transfers
MORRISONS EDINBURGH 9343,Groceries
fp to a patel re,Transfers
Parkingeye Ltd Edinburgh,Transport
Amzn Mktp U,Shopping
DOMINOS PIZZA BRISTOL,Dining
PENSION PAYMENT NORT,Salary/Income
Apple.Com/Bill Icloud,Subscriptions
UBER *TRIP HELP.UBER.COM,Transport
MORRISONS MANCHEST*R 1690,Groceries
FP  TO  M  KHAN  REF  3355,Transfers
DOMINOS PIZZA EDINBURGH,Dining
NYTIMES DIGITAL REF29456,Subscriptions
PURE GYM MANCHESTER,Entertainment
Shell Petrol Birmingham,Transport
PRIMARK MAN,Shopping
eventbrite,Entertainment
CURRYS PC WORLD,Shopping
CINEWORLD BIRMINGHAM REF27988,Entertainment
STANDING ORDER TO M KHAN,Transfers
VIRGIN MEDIA REF95454,Utilities
hmrc tax credit,Salary/Income
Transfer  To  C  Tay#or  Ref96981,Transfers
Payroll Bluewave Lt Ref19720,Salary/Income
STANDING ORDER TO L JONES REF33645,Transfers
HOMELET RENT GUARANTEE,Rent/Mortgage
HOMELET RENT GUARANTEE,Rent/Mortgage
IKEA LTD EDINBURGH,Shopping
EBAY O *7046,Shopping
nytimes digi,Subscriptions
OCADO LTD RE# 2142,Groceries
IKEA LTD GLASGOW,Shopping
Amazon.Co.Uk *3228,Shopping
Parkingeye  Ref96544,Transport
BT  GROUP  PL,Utilities
Uber *Trip Help.Uber.Com Ref36702,Transport
AMAZON.CO.UK *1553,Shopping
Microsoft*Xbox,Subscriptions
NEXT RETAIL LTD,Shopping
Pure Gym Glasg,Entertainment
BP BRISTOL FUEL,Transport
Homelet Rent Guarantee,Rent/Mortgage
JUST EAT GLASGOW,Dining
pure gym birmingham,Entertainment
Bolt.Eu/Trip 9918,Transport
FASTER PAYMENTS OUT A PATEL,Transfers
STARBUCKS MANCHESTER REF40035,Dining
COSTA  COFFEE  3782,Dining
STARBUCKS LIVERPOOL,Dining
Scottish P,Utilities
MCDONALDS MANCHESTER REF64816,Dining
EE LIMITED MOBILE,Utilities
THAMES WATER 3653,Utilities
FP  TO  R  SINGH  REF  8404  REF70509,Transfers
Ebay O *34,Shopping
Amazon.Co.Uk *30X9,Shopping
Bolt.Eu/Trip 2560,Transport
ZARA.COM UK,Shopping
TRANSFER TO J SMITH,Transfers
AMAZON.CO.UK *7205 REF51221,Shopping
P2P PAYMENT S BROWN REF17554,Transfers
AMAZON.CO.UK *1709 REF12255,Shopping
DELIVEROO.CO.UK 8462 REF64685,Dining
UBER *EATS HELP.UBER.COM,Dining
AMAZON.CO.UK *8001 REF47314,Shopping
IKEA LTD BRISTOL,Shopping
PRIMARK EDINB,Shopping
STANDING ORDER TO C TAYLOR REF4418,Transfers
RENT PAYMENT M KHAN,Rent/Mortgage
Dropbox*Ib,Subscriptions
UBER *EATS HELP.UBER.COM,Dining
P2P Payment J Smith,Transfers
CINEWORLD BRISTOL,Entertainment
pension payment helios corp ref67147,Salary/Income
Apple.Com/Bill,Subscriptions
STAGECOACH BUS 6801,Transport
FP TO M KHAN REF,Transfers
APPXE.COM/BILL ICLOUD,Subscriptions
RENT PAYMENT C TAYL,Rent/Mortgage
NETFLIX.COM,Subscriptions
Standing  Order  To  L  Jones,Transfers
AMAZON.CO.UK *4446,Shopping
uber  *eats  help.ub,Dining
Bt Group Plc Ref97363,Utilities
CINEWORLD EDINBURGH,Entertainment
Asda Superstore 3683,Groceries
#ara.com  u,Shopping
MORRISONS BIRMINGHAM 894,Groceries
STARBUCKS LEEDS REF36309,Dining
UBER *TRIP HELP.UBER.COM,Transport
Amazon Prime 1990,Subscriptions
Wagamama Manchester Ref5040,Dining
DELIVEROO.CO#REF42410,Dining
apple.com/bill icloud,Subscriptions
JOHN LEWIS LIVER,Shopping
PARKINGEYE LTD LIVERPOOL,Transport
GITHUB INC REF9315,Subscriptions
RENT PAYMENT M KHAN,Rent/Mortgage
EE LIMITED MOBILE REF62122,Utilities
Fp To L Jones Ref 8396,Transfers
National Express Bristol,Transport
halifax mortgage pymt,Rent/Mortgage
BANK TRANSFER L JONES,Transfers
WAITROSE LIVERPOOL REF40797,Groceries
ASDA SUPERSTORE 449,Groceries
STARBUCKS LIVE REF82975,Dining
steamgames.com 75 ref26558,Entertainment
Co-Op Food Birmingham Ref2952,Groceries
Just Eat Bristol,Dining
National Express Leeds,Transport
DWP UNIVERSAL CREDIT,Salary/Income
BP LEEDS FUEL,Transport
PRIMARK MANCHESTER,Shopping
Rightmove Rent Ref 8556,Rent/Mortgage
Nandos Bristol,Dining
MARKS&SPENCER FOOD LONDON,Groceries
ALDI STORES 7580,Groceries
OCTOPUS ENERGY LT REF56047,Utilities
Vodafone Ltd,Utilities
Payroll Helios Corp,Salary/Income
Payroll Pivot Io Ref17932,Salary/Income
COSTA COFFEE 804,Dining
TICKETMASTER UK REF8219,Entertainment
COUNCIL TAX MAN,Utilities
P2P P#YMENT C TAYLOR REF96173,Transfers
BT GROUP PLC,Utilities
TRANSFER  TO  C  TAYLOR  REF82955,Transfers
SHELL PETR,Transport
BOLT.EU/TRIP,Transport
FP  TO  J  SMITH  REF  9836,Transfers
STANDING ORDER TO M KHAN,Transfers
Dropbox*Ib Ref30624,Subscriptions
TRAINLINE.COM TICKET,Transport
BOLT.EU/TRIP 9782 REF7693,Transport
DVLA TAX 672,Transport
CINEWORLD,Entertainment
Edf Energy,Utilities
fp to c taylor ref 295 ref18665,Transfers
GITHUB INC,Subscriptions
PLAYSTATION NETWORK,Entertainment
ALDI STORES 5690,Groceries
IKE* LTD LONDON,Shopping
PROPERTY MGMT LTD RENT,Rent/Mortgage
dvla tax 2042,Transport
PLAYSTATION NETWORK REF3538,Entertainment
Morrisons Edinburgh 60 Ref16790,Groceries
ebay o *72 ref92202,Shopping
Amazon  Prime  8855,Subscriptions
HOMELET RENT GUARANTEE,Rent/Mortgage
STAGECOACH B REF5459,Transport
RIGHTMOVE RENT REF 5157,Rent/Mortgage
wagamama  london  ref56562,Dining
Dvla Tax X863,Transport
STANDING ORDER TO R SIN,Transfers
John Lewis,Shopping
NATIONAL E,Transport
Scottish  Power,Utilities
ADOBE SYST,Subscriptions
STANDING ORDER REF49548,Transfers
DROPBOX*IB,Subscriptions
uber *eats help.uber.com,Dining
Ee Limited Mobile,Utilities
currys pc world,Shopping
PARKINGEYE LTD EDINBURGH REF96022,Transport
EE LIMITED MOBILE,Utilities
Nytimes  Digital,Subscriptions
Mcdonalds Bristol,Dining
Tesco  *tores  3733  Bristol  Ref80358,Groceries
ALDI STORES,Groceries
EVENTBRXTE *EVENT,Entertainment
IKEA LTD EDINBURGH,Shopping
COUNCIL TAX LONDON REF90179,Utilities
Just Eat Edinburgh Ref34190,Dining
STANDING ORDER TO R SINGH,Transfers
WAGAMAMA GLASGO,Dining
Zara.Com  Uk,Shopping
MORRISONS  BIRMING  REF32258,Groceries
Property M,Rent/Mortgage
THE GYM GROUP 9203 REF19504,Entertainment
british gas energy ref6047,Utilities
HOMELET RENT GUARANTEE,Rent/Mortgage
Waitrose Manchester,Groceries
AMZN MKTP UK,Shopping
BRITISH GAS ENERGY,Utilities
morrisons bristol 3361,Groceries
Just Eat Manchester,Dining
NATIONAL EXPRESS LEEDS,Transport
Rent Payment S Brown,Rent/Mortgage
DWP UNIVERSAL CREDI,Salary/Income
SCOTTISH POWER,Utilities
netflix.com,Subscriptions
Landlord Rent Man,Rent/Mortgage
CURRYS PC WOR,Shopping
MARKS&SPENCER FOOD BRISTOL,Groceries
BT GROUP PLC,Utilities
SHELL PETROL LONDON,Transport
Disney Plus,Subscriptions
VODAFONE LTD REF51728,Utilities
MICROSOFT*XBOX,Subscriptions
REVOLUT TRANSFER 9456,Transfers
EE  LIMITED  MOBILE,Utilities
TRANSFER TO M KHAN REF79506,Transfers
EVENTBRITE *EVENT REF7179,Entertainment
Pure Gym Edinb,Entertainment
AMAZON.CO.UK *4925,Shopping
ADOBE SYSTEMS,Subscriptions
WAGAMAMA LONDON,Dining
SALARY NORTHSTAR PLC BACS,Salary/Income
APPLE.COM/BILL ICLOUD,Subscriptions
BP BRISTOL,Transport
COSTA COFFEE 896,Dining
IKEA LTD BRISTOL,Shopping
UBER *TRIP HELP.UBER.COM,Transport
scottish power ref40241,Utilities
Lidl Gb Birmingham,Groceries
ARGOS LTD LEEDS REF17199,Shopping
BANK TRANSFER C TAYLOR,Transfers
Faster Payments Out L Jones,Transfers
REVOLUT TRANSFER 9641,Transfers
NETFLIX.COM REF42824,Subscriptions
DVLA TAX 4226 REF82422,Transport
DVLA TAX 105 REF64686,Transport
ikea  ltd  londo,Shopping
LIDL GB BIRMINGHAM REF96068,Groceries
Waitrose Manchester,Groceries
Dropbox*Ib,Subscriptions
NEXT  RETAIL  LTD,Shopping
CINEWORLD LEEDS,Entertainment
netflix.com,Subscriptions
Transfer  To  M  Khan,Transfers
waitrose edinburgh ref35838,Groceries
ALDI STORES 71 REF94546,Groceries
MARKS&SPENCER FOOD EDI REF23032,Groceries
TRANSFER TO S BROWN,Transfers
STANDING  ORDER  TO  C  TAYXOR,Transfers
Thames Water 9,Utilities
Asda Supers,Groceries
First Bus Bristol,Transport
PLAYSTATION NETWORK,Entertainment
UBER *TRIP HELP.UBER.COM,Transport
Fp To M Khan,Transfers
SAINSBURYS S/MKTS REF97810,Groceries
stagecoach bus 279,Transport
Bank Transfer S Brown Ref67822,Transfers
Next Retail Ltd Ref9146,Shopping
MORRISONS BRISTOL 9807,Groceries
faster payment from acme ltd salary ref87227,Salary/Income
EMPLOYER BACS BLUEWAVE LTD REF66741,Salary/Income
Aldi Stores 2190,Groceries
Disney Plus Ref28461,Subscriptions
EBAY O *2879,Shopping
bt group plc,Utilities
PLAYSTATION  REF42066,Entertainment
MICROSOFT*XBO,Subscriptions
ALDI STORES 6518,Groceries
parkingeye ltd manchester,Transport
Ikea Ltd Manch,Shopping
Nytimes Digital,Subscriptions
Faster Payments Out M Kha,Transfers
Microsoft*Xbox,Subscriptions
Microsoft*Xbox Ref53703,Subscriptions
AMAZON.CO.UK *15 REF81635,Shopping
SPOTIFY  P5417  REF28452,Subscriptions
APPLE.COM/BILL ICLOUD,Subscriptions
PRIMARK MANCHE REF75732,Shopping
the guardian digital,Subscriptions
Faster Payment,Transfers
FP TO C TAYLOR REF 5257,Transfers
EBAY O *7988,Shopping
FASTER PAYMENTS OUT S BROWN REF97502,Transfers
AMAZON.CO.UK *6930,Shopping
faster payments out,Transfers
ParkinXeye Ltd Liverpool Ref3918,Transport
OCADO LTD REF 7349,Groceries
NATIONAL EXPRESS BIRM,Transport
bp birmingham fuel ref19535,Transport
Property Mgmt,Rent/Mortgage
SANTANDER MORTGAGE,Rent/Mortgage
Dominos Pizza Leeds,Dining
NATIONAL EXPRESS EDINBURGH,Transport
Next Retail,Shopping
TFL TRAVEL CHARGE 1458,Transport
PRIMARK EDINBURGH,Shopping
halifax mortgage pymt,Rent/Mortgage
Faster Payment From Pivot Io Salary,Salary/Income
COSTA COFFEE 1229 REF27061,Dining
TRANSFER TO J SM,Transfers
LANDLORD RENT LIVERPOOL,Rent/Mortgage
DROPBOX*IB,Subscriptions
bp  london  fuel,Transport
AMZN MKTP U REF84205,Shopping
aldi stores 3733,Groceries
Transfer To # Taylor,Transfers
Uber *Trip HelpXUber.Com,Transport
bolt.eu/trip 1600,Transport
sainsburys s/mkts liverpool,Groceries
TRAINLINE.COM TICKET,Transport
EMPLOYER BACS BL,Salary/Income
Ee  Limited  Mobile,Utilities
BRITISH GAS ENERGY,Utilities
EE LIMITED MOBILE,Utilities
FASTER PAYMENT FROM BLUEWAVE LTD SALARY,Salary/Income
TESCO STORES 670 LIVERPOOL,Groceries
CURRYS PC WORLD,Shopping
NETFLIX.COM,Subscriptions
Waitrose Glasgow,Groceries
DWP#UNIVERSAL,Salary/Income
NATNORTH*MORTGAGE 286,Rent/Mortgage
steamgames.co ref49295,Entertainment
NANDOS BRIST,Dining
CURRYS PC WORLD,Shopping
Tesco  Stores  9  Ref68605,Groceries
MICROSOFT*XBOX,Subscriptions
FIRST  BUS  B,Transport
ODEON  CINEMAS  1110,Entertainment
British Gas Energy Ref59312,Utilities
JOHN LEWIS GLASGOW,Shopping
Apple.Com/Bill,Shopping
WAITROSE  LIV  REF56796,Groceries
CURRYS PC WORLD,Shopping
Faster Payment From Acme Ltd Salary,Salary/Income
John  Lewis  Birmingham,Shopping
EBAY O *9548,Shopping
Natnorth Mortgage 15,Rent/Mortgage
OCTOPUS E*ERGY REF12607,Utilities
JOHN LEWIS BRISTOL REF4077,Shopping
PENSION PAYMENT ACME LTD,Salary/Income
Parkingeye Ltd Liverpool,Transport
ADOBE SYSTEMS,Subscriptions
marks&spencer fo,Groceries
SHELL PETROL MANCHESTER,Transport
starbucks birmingham,Dining
tesco stores 3658,Groceries
ikea ltd ed,Shopping
Employer Bacs Pivot Io,Salary/Income
UBER *TRIP HELP.UBER.,Transport
Cineworld Birmingham,Entertainment
MARKS&SPENCER,Groceries
Rightmove Rent Ref 6883 Ref44898,Rent/Mortgage
UBER  *TRIP  HELP.UBER.COM,Transport
#fl Travel Charge 91,Transport
PLAYSTATION NETWORK,Entertainment
Sainsburys S/Mkts Bristol,Groceries
MARKS&SPENCER FOOD MANCHESTER,Groceries
PROPERTY MGMT LTD RENT REF83700,Rent/Mortgage
COUNCIL TAX LEEDS,Utilities
Morrisons Birmingham  Ref39328,Groceries
THE GUARDIAN DIGITAL,Subscriptions
Landlord Rent Birmingham,Rent/Mortgage
EBAY O *5103,Shopping
Eventbrite *,Entertainment
Dvla Tax 9209,Transport
Ocado Ltd Ref 5031,Groceries
PENSION PAYMENT HELIOS CORP,Salary/Income
Costa #offee 3284,Dining
Dvla Tax 684,Transport
ZARA.COM UK,Shopping
VIRGIN MEDIA O2,Utilities
apple.com/bill icloud,Subscriptions
SAINSBURYS  S/MKTS  LEEDS  REF38051,Groceries
Council Tax Birmingham,Utilities
TFL TRAVEL CHARGE 1214 REF96502,Transport
IKEA LTD GLASGOW REF51960,Shopping
PURE GYM BIRMINGHAM REF99562,Entertainment
PROPERTY  MGMT  LTD  RENT,Rent/Mortgage
STEAMGAMES.C,Entertainment
STANDING ORDER TO S BROWN REF92878,Transfers
Stagecoach  Bus  9740  Ref52363,Transport
Bolt.Eu/Trip 227 Ref13328,Transport
Next Retail Ltd Ref76173,Shopping
Github Inc,Subscriptions
TRANSFER TO C TAYLOR #EF76465,Transfers
FASTER PAYMENTS OUT R SINGH,Transfers
TRANSFER TO C,Transfers
Faster Payment From Pivot Io Salary,Salary/Income
MORRISONS BIRMINGHAM 2488 REF12866,Groceries
APPLE.COMXBI,Subscriptions
APPLE.COM/BILL,Shopping
Nytimes Digital,Subscriptions
PROPERTY  MGMT  LTD  REF60391,Rent/Mortgage
PRET  A  MANGER  EDINBURGH,Dining
uber *eats help.uber.com,Dining
SPOTIFY P2330,Subscriptions
AMAZON.CO.UK *3067XREF90308,Shopping
STEAMGAMES.COM 9399,Entertainment
JOHN  LEWIS  GLASGOW  REF25259,Shopping
Employer Bacs Acme Ltd,Salary/Income
Apple.Com/Bill,Shopping
Deliveroo.Co.Uk 6167,Dining
Co-Op Food Birmingham,Groceries
Stagecoach Bus Ref11410,Transport
asda superstore 7,Groceries
UBER *EATS HELP.UBER.COM,Dining
STARBUCKS MANCHESTER,Dining
WAITROSE BIRMINGHAM REF49412,Groceries
Wagamama Leeds Ref93806,Dining
